"EJE_DESCRIPCION","SERVICIO","PROYECTO","CODIGOBIP","ETAPAPROYECTO","FINANCIAMIENTO","NOMBREPROYECTO","REGIONGEOGRAFICA","FECHA_INICIO","FECHA_TERMINO","MONTO_VIGENTE_P","PROVINCIAS","COMUNAS"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34227,"30068924-0","TERMINADO","Mixto","CONSTRUCCION SERVICIO DE APR LA CURVA DE CAYUCUPIL  DE CAÑETE","Biobío",30/06/09,24/03/20,1020208,"ARAUCO","CAÑETE"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34226,"30068926-0","TERMINADO","Sectorial","CONSTRUCCION INSTALACION SERVICIO DE APR PANGUE , COMUNA DE LOS ALAMOS","Biobío",13/01/09,22/03/13,516847,"ARAUCO","LOS ALAMOS"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Portuarias",34217,"30071957-0","TERMINADO","Sectorial","CONSTRUCCION DEFENSA COSTERA CAMINO CERRO VERDE BAJO","Biobío",22/12/08,24/09/12,1397386,"CONCEPCION","PENCO"
"Competitividad / Conectividad","Dirección de Obras Portuarias",34206,"30071284-0","TERMINADO","Sectorial","MEJORAMIENTO TERMINALES PARA TRANSBORDADORES PRIMERA ANGOSTURA","Magallanes y de la Antártica Chilena",28/04/09,21/12/16,7905843,"TIERRA DEL FUEGO","PORVENIR"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",34205,"30069626-0","TERMINADO","Sectorial","MEJORAMIENTO BORDE COSTERO PICHILEMU","Libertador General Bernardo O'Higgins",08/07/11,16/10/21,5800384,"CARDENAL CARO","PICHILEMU"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",34204,"30064112-0","TERMINADO","Sectorial","NORMALIZACION RIO DE LA MANO PUNTA ARENAS","Magallanes y de la Antártica Chilena",01/01/12,29/09/13,3469690,"MAGALLANES","PUNTA ARENAS"
"Seguridad hídrica","Dirección de Obras Hidráulicas",34199,"30072036-0","EN EJECUCION","Sectorial","CONSTRUCCION REGADÍO CUNCUMÉN, COMUNA DE SAN ANTONIO","Valparaíso",23/12/10,01/12/25,56107855,"SAN ANTONIO","SAN ANTONIO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34197,"30072629-0","TERMINADO","Sectorial","MEJORAMIENTO SISTEMA APR DE IMPERIAL, VALLENAR","Atacama",20/11/08,20/12/11,574774,"HUASCO","ALTO DEL CARMEN"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34184,"30069143-0","TERMINADO","Sectorial","-- INSTALACION SERVICIO DE APR CHORRILLOS - LIPANGUE, LAMPA","Metropolitana de Santiago",30/11/15,12/07/16,1551322,"CHACABUCO","LAMPA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34181,"30072393-0","TERMINADO","Sectorial","MEJORAMIENTO SERVICIO DE APR SANTA FILOMENA SAN LUIS COLINA","Metropolitana de Santiago",17/12/08,14/11/15,1975159,"CHACABUCO","COLINA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34180,"30111294-0","TERMINADO","Sectorial","MEJORAMIENTO SERVICIO APR LAS ROSAS CURACAVI","Metropolitana de Santiago",30/07/12,11/04/13,1073168,"MELIPILLA","CURACAVI"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34179,"30072391-0","TERMINADO","Sectorial","MEJORAMIENTO SERVICIO APR HERMANOS CARRERA COLINA","Metropolitana de Santiago",07/01/09,28/07/14,1814611,"CHACABUCO","COLINA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34175,"30072384-0","TERMINADO","Sectorial","MEJORAMIENTO SERVICIO APR REINA NORTE COLINA","Metropolitana de Santiago",17/12/08,20/01/13,679104,"CHACABUCO","COLINA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34174,"30072376-0","TERMINADO","Sectorial","MEJORAMIENTO SERVICIO APR SANTA MARTA DE LIRAY COLINA","Metropolitana de Santiago",17/12/08,09/09/13,1879743,"CHACABUCO","COLINA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34173,"30072374-0","TERMINADO","Sectorial","MEJORAMIENTO SERVICIO DE APR EL ESPINALILLO TIL TIL","Metropolitana de Santiago",07/01/09,21/03/12,274270,"CHACABUCO","TIL TIL"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34171,"30072378-0","TERMINADO","Sectorial","AMPLIACION Y MEJORAMIENTO SISTEMA APR NOVICIADO-PERALITO, PUDAHUEL","Metropolitana de Santiago",16/11/15,14/06/18,3914299,"SANTIAGO","PUDAHUEL"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34168,"30072620-0","TERMINADO","Mixto","MEJORAMIENTO MEJORAMIENTO SISTEMA APR CRUCECITA-LA MAJADA CRUCECITA LA MAJADA, COMUNA DE ALTO DEL CARMEN","Atacama",20/11/08,25/09/12,316729.2,"HUASCO","ALTO DEL CARMEN"
"Competitividad / Conectividad","Dirección de Vialidad",34161,"30073343-0","TERMINADO","Sectorial","CONSTRUCCION PUENTE AYSEN, SECTOR PUERTO DUN","Aysén del General Carlos Ibáñez del Campo",05/11/09,01/12/16,13353382,"AYSEN","AYSEN"
"Competitividad / Conectividad","Dirección de Vialidad",34145,"30071800-0","EN EJECUCION","Mixto","MEJORAMIENTO CBI RUTA I-120 KM 0.0 AL 14.7,LA ESTRELLA Y LITUECHE","Libertador General Bernardo O'Higgins",18/04/13,01/12/24,4652615,"CARDENAL CARO","LA ESTRELLA, LITUECHE"
"Competitividad / Conectividad","Dirección de Aeropuertos",34140,"30071367-0","TERMINADO","Sectorial","CONSTRUCCION PEQUEÑO AERÓDROMO CALETA MARÍA","Magallanes y de la Antártica Chilena",10/04/09,01/01/16,2688551,"TIERRA DEL FUEGO","TIMAUKEL"
"Competitividad / Conectividad","Dirección de Vialidad",34124,"30071787-0","PREFACTIBILIDAD","Sectorial","CONSTRUCCION BY PASS ZONA URBANA DE  PICHILEMU","Libertador General Bernardo O'Higgins",18/10/11,30/12/31,7787807,"CARDENAL CARO","PICHILEMU"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34121,"30071718-0","TERMINADO","Sectorial","-- INSTALACION SERVICIO AGUA POTABLE RURAL ISLA LIN LIN COMUNA DE QUINCHAO","Los Lagos",31/12/08,06/08/13,1125019,"CHILOE","QUINCHAO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34119,"30071727-0","TERMINADO","Sectorial","-- INSTALACION SERVICIO DE AGUA POTABLE RURAL DE ISLA AÑIHUE QUEMCHI","Los Lagos",02/12/11,13/08/12,491615,"CHILOE","QUEMCHI"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34118,"30069786-0","TERMINADO","Sectorial","-- INSTALACION SERVICIO AGUA POTABLE RURAL DE QUILEN QUELLON","Los Lagos",31/12/08,29/12/14,666477,"CHILOE","QUELLON"
"Competitividad / Conectividad","Dirección de Vialidad",34113,"30072419-0","EN EJECUCION","Sectorial","REPOSICION PUENTE RIO GRANDE Y SUS ACCESOS, RUTA Y-85, XIIR.","Magallanes y de la Antártica Chilena",14/01/11,01/12/24,10048599,"TIERRA DEL FUEGO","TIMAUKEL"
"Competitividad / Conectividad","Dirección de Vialidad",34090,"30070015-0","EN EJECUCION","Sectorial","CONSERVACION RED VIAL PLAN INDIGENA AÑOS 2008-2010","La Araucanía",01/08/08,01/12/24,16026310,"CAUTIN, MALLECO","TEMUCO, CARAHUE, CUNCO, CURARREHUE, ANGOL, COLLIPULLI, CURACAUTIN, ERCILLA, LOS SAUCES, LUMACO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34088,"30071466-0","TERMINADO","Sectorial","MEJORAMIENTO SERVICIO DE AGUA POTABLE RURAL CRUCERO COMUNA DE PURRANQUE","Los Lagos",04/12/08,12/01/14,551101,"OSORNO","PURRANQUE"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Arquitectura",34084,"30070904-0","TERMINADO","Sectorial","CONSTRUCCION PARQUE CULTURAL CERRO CARCEL DE VALPARAISO","Valparaíso",01/01/08,05/04/12,15963662,"VALPARAISO","VALPARAISO"
"Competitividad / Conectividad","Dirección de Vialidad",34077,"30069739-0","EN EJECUCION","Sectorial","REPOSICION RUTA G-78,  SECTOR MELIPILLA-CUNCUMÉN","Metropolitana de Santiago",26/01/10,21/01/25,70134666,"MELIPILLA","MELIPILLA"
"Competitividad / Conectividad","Dirección de Vialidad",34075,"30073692-0","TERMINADO","Sectorial","CONSTRUCCION PUENTE SANTA MARTA EN RUTA E-253, PROV. DE PETORCA","Valparaíso",31/08/09,02/12/13,5782658,"PETORCA","LA LIGUA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34072,"30066942-0","TERMINADO","Extrasectorial","AMPLIACION SISTEMA DE AGUA POTABLE RURAL PAMPA REDONDA PUNTA ARENAS","Magallanes y de la Antártica Chilena",28/07/15,17/12/16,3469225.75,"MAGALLANES","PUNTA ARENAS"
"Competitividad / Conectividad","Dirección de Vialidad",34070,"30073467-0","TERMINADO","Sectorial","CONSTRUCCION PUENTE SANTA JULIA EN RUTA E-325, PROV. DE PETORCA","Valparaíso",31/08/09,28/11/20,4495360,"PETORCA","PETORCA"
"Competitividad / Conectividad","Dirección de Vialidad",34063,"30070584-0","TERMINADO","Sectorial","REPOSICION PUENTE RINCÓN DE PAINE EN  COMUNA DE PAINE","Metropolitana de Santiago",01/01/09,09/06/12,1537633,"MAIPO","PAINE"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34057,"30072235-0","TERMINADO","Sectorial","-- INSTALACION SERVICIO DE AGUA POTABLE RURAL DE ROLLIZO, PUERTO VARAS","Los Lagos",14/10/16,27/05/17,646584,"LLANQUIHUE","PUERTO VARAS"
"Competitividad / Conectividad","Dirección de Vialidad",34055,"30073648-0","EN EJECUCION","Sectorial","MEJORAMIENTO PAVIMENTO RUTA G-814 LEYDA - CUNCUMEN, PROV SAN ANTONIO","Valparaíso",01/01/12,01/12/24,16128135,"SAN ANTONIO","SAN ANTONIO"
"Competitividad / Conectividad","Dirección de Vialidad",34052,"30075371-0","TERMINADO","Sectorial","CONSTRUCCION SENDAS PEATONALES/CICLOVIAS EN RUTAS DE LA DVRM","Metropolitana de Santiago",20/10/09,30/12/19,8175860,"MELIPILLA","MARIA PINTO"
"Competitividad / Conectividad","Dirección de Vialidad",34051,"30070374-0","TERMINADO","Sectorial","REPOSICION PTES ISLITA E ISLA DE ROJAS, CNAS CURACAVI, MARIA PINTO","Metropolitana de Santiago",01/01/09,26/11/12,2969396,"MELIPILLA","CURACAVI, MARIA PINTO"
"Competitividad / Conectividad","Dirección de Vialidad",34048,"30073186-0","TERMINADO","Sectorial","REPOSICION PUENTES RANCHILLO Y PICHIRANCHILLO,COMUNA MARIA PINTO","Metropolitana de Santiago",01/01/10,25/11/12,2785726,"MELIPILLA","MARIA PINTO"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",34045,"30071152-0","PREFACTIBILIDAD","Sectorial","MEJORAMIENTO BORDE COSTERO LITORAL CENTRAL, V REGIÓN","Valparaíso",02/01/12,10/02/13,214462,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Obras Portuarias",34044,"30069745-0","DISEÑO","Sectorial","MEJORAMIENTO CONECTIVIDAD MARITIMA REGION DE AYSEN","Aysén del General Carlos Ibáñez del Campo",14/12/07,04/03/14,2473777,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",34042,"30072725-0","EN EJECUCION","Sectorial","REPOSICION RUTAS T-47 Y T-45: CHOSHUENCO-RIÑIHUE","Los Ríos",06/12/11,30/12/29,98183395,"VALDIVIA","LOS LAGOS, PANGUIPULLI"
"Competitividad / Conectividad","Dirección de Vialidad",34039,"30070375-0","TERMINADO","Sectorial","REPOSICION PUENTE MACAL EN CAMINO EL ASIENTO, ROL G-682, ALHUE","Metropolitana de Santiago",01/01/12,30/12/13,2882565,"MELIPILLA","ALHUE"
"Competitividad / Conectividad","Dirección de Vialidad",34038,"30071390-0","TERMINADO","Sectorial","MEJORAMIENTO RUTAS S/ROL, T-981-U S: CRUCERO-ENTRELAGOS","Los Ríos",12/07/10,17/02/24,25279452,"RANCO","RIO BUENO"
"Competitividad / Conectividad","Dirección de Vialidad",34036,"30069463-0","EN EJECUCION","Sectorial","CONSTRUCCION VARIANTE POLPAICO EN RUTA G-132, COMUNA DE TILTIL","Metropolitana de Santiago",01/01/12,30/12/27,9752552,"CHACABUCO","TIL TIL"
"Competitividad / Conectividad","Dirección de Vialidad",34028,"30074253-0","EN EJECUCION","Sectorial","REPOSICION RUTA G-25 S. SAN JOSE DE MAIPO- SAN GABRIEL","Metropolitana de Santiago",12/02/10,30/12/33,25508670,"CORDILLERA","SAN JOSE DE MAIPO"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Arquitectura",34025,"30073392-0","TERMINADO","Sectorial","REPOSICION EDIFICIO PROVINCIAL VIALIDAD MOP ARAUCO, LEBU","Biobío",01/12/11,28/06/12,597666,"ARAUCO","LEBU"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",34020,"30071326-0","TERMINADO","Mixto","MEJORAMIENTO BORDE COSTERO DE ANTOFAGASTA, EL CABLE-BALNEARIO MUNICIPAL","Antofagasta",12/06/09,19/12/14,3467839.548,"ANTOFAGASTA","ANTOFAGASTA"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",34019,"30069920-0","TERMINADO","Sectorial","CONSERVACION DE COLECTORES DE AGUAS LLUVIAS PUNTA ARENAS","Magallanes y de la Antártica Chilena",28/03/08,20/12/10,356343,"MAGALLANES","PUNTA ARENAS"
"Seguridad hídrica","Dirección de Obras Hidráulicas",34005,"30069721-0","FACTIBILIDAD","Sectorial","CONSTRUCCION EMBALSE EL CANELILLO","Coquimbo",01/01/14,26/04/17,1539438,"CHOAPA","ILLAPEL, CANELA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",34002,"30070742-0","TERMINADO","Sectorial","MEJORAMIENTO SISTEMA APR CACIQUE CURIHUIL PADRE LAS CASAS","La Araucanía",26/11/09,30/04/13,1214843,"CAUTIN","PADRE LAS CASAS"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",33995,"30070734-0","TERMINADO","Sectorial","-- INSTALACION AGUA POTABLE RURAL FERNANDO CARILAO, PERQUENCO","La Araucanía",10/11/09,31/01/15,744622,"CAUTIN","PERQUENCO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",33994,"30070732-0","TERMINADO","Sectorial","REPOSICION PARCIAL SISTEMA AGUA POTABLE SAN PATRICIO, VILCUN","La Araucanía",10/11/09,22/11/14,1442669,"CAUTIN","VILCUN"
"Competitividad / Conectividad","Dirección de Vialidad",33992,"30071354-0","TERMINADO","Sectorial","CONSTRUCCION ACCESO SUR PUENTE LLICO (CAMINO REAL)","Maule",05/10/11,28/12/12,6507185,"CURICO","VICHUQUEN"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",33991,"30071739-0","TERMINADO","Sectorial","CONSTRUCCION COLECTOR AGUAS LLUVIAS  AV. MATTA, VALLENAR","Atacama",26/07/08,28/03/12,376499,"HUASCO","VALLENAR"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",33987,"30072002-0","TERMINADO","Sectorial","-- INSTALACION SERVICIO DE AGUA POTABLE RURAL METRI PUERTO MONTT","Los Lagos",04/12/08,03/11/13,710430,"LLANQUIHUE","PUERTO MONTT"
"Competitividad / Conectividad","Dirección de Vialidad",33981,"30069710-0","TERMINADO","Sectorial","MEJORAMIENTO RUTA N-532, CRUCE N-50-PUYARAL-PTE EL ALA, PROV. ÑUBLE","Ñuble",21/09/07,20/07/11,6720611,"PUNILLA","SAN NICOLAS"
"Competitividad / Conectividad","Dirección de Vialidad",33977,"30070422-0","TERMINADO","Mixto","MEJORAMIENTO RUTA N-55, SECTOR LAS TRANCAS - LAS TERMAS, PROV. ÑUBLE","Ñuble",01/01/13,23/05/15,5750564.572,"DIGUILLÍN","PINTO"
"Competitividad / Conectividad","Dirección de Vialidad",33973,"30071340-0","EN EJECUCION","Mixto","REPOSICION PUENTE DUQUECO, PROVINCIA DE BIOBIO","Biobío",01/01/14,01/12/24,9017860,"BIO BIO","QUILLECO, SANTA BARBARA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",33951,"30044754-0","TERMINADO","Sectorial","CONSERVACION Y REPARACION SISTEMA A.P.R. VILLA MAÑIHUALES","Aysén del General Carlos Ibáñez del Campo",29/09/11,10/07/12,860678,"AYSEN","AYSEN"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",33941,"30071332-0","TERMINADO","Extrasectorial","DIAGNOSTICO PLAN MAESTRO OBRAS FLUVIALES RIO AYSEN","Aysén del General Carlos Ibáñez del Campo",01/01/11,26/12/12,112407.418,"AYSEN","AYSEN"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",33936,"30067234-0","TERMINADO","Mixto","AMPLIACION SERVICIO A. P. R. CASABLANCA COMUNA DE PUTAENDO","Valparaíso",23/08/07,05/10/13,234137.16,"SAN FELIPE","PUTAENDO"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",33932,"30072202-0","TERMINADO","Sectorial","CONSTRUCCION OBRAS DE CANALIZACIÓN ESTERO LAS CRUCES ETAPA 2","Metropolitana de Santiago",01/01/08,30/06/14,11864570,"CHACABUCO","COLINA, LAMPA"
"Competitividad / Conectividad","Dirección de Aeropuertos",33901,"30080633-0","TERMINADO","Sectorial","NORMALIZACION AEROPUERTO CARRIEL SUR, CONCEPCIÓN, VIII REGIÓN","Biobío",28/07/10,06/10/12,1565724,"CONCEPCION","TALCAHUANO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",33877,"27000277-0","TERMINADO","Sectorial","CONSERVACION MANTENCION Y AMPLIACION DE SISTEMAS DE APR EXISTENTES","Interregional",06/07/07,02/09/21,127891809,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Aeropuertos",33875,"30080248-0","DISEÑO","Sectorial","NORMALIZACION ANCHO DE BERMAS CALLE DE RODAJE ALFA AERÓDROMO CARRIEL SUR, CONCEPCIÓN. VIII REGION","Biobío",04/08/10,22/11/10,86553,"CONCEPCION","TALCAHUANO"
"Competitividad / Conectividad","Dirección de Vialidad",33868,"30044567-0","TERMINADO","Mixto","CONSERVACION INFRAESTRUCTURA RURAL, REGION DE AYSEN XI REGION","Aysén del General Carlos Ibáñez del Campo",15/11/08,07/02/14,1194128.322,"INTERPROVINCIAL","INTERCOMUNAL"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",33861,"30060969-0","TERMINADO","Sectorial","-- APLICACION SERVICIO DE AGUA POTABLE RURAL LO VASQUEZ","Valparaíso",23/08/07,20/12/11,771939,"VALPARAISO","CASABLANCA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",33857,"30060961-0","TERMINADO","Sectorial","AMPLIACION SERVICIO DE AGUA POTABLE RURAL LA VIÑILLA","Valparaíso",23/08/07,20/12/12,637136,"VALPARAISO","CASABLANCA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",33855,"30060967-0","TERMINADO","Sectorial","AMPLIACION SERVICIO DE AGUA POTABLE RURAL BARRANCAS","Valparaíso",23/08/07,25/04/13,894829,"SAN FELIPE","SAN FELIPE"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",33852,"30060963-0","TERMINADO","Sectorial","AMPLIACION SERVICIO APR LO OROZCO","Valparaíso",23/08/07,20/12/11,287746,"VALPARAISO","CASABLANCA"
"Competitividad / Conectividad","Dirección de Aeropuertos",33845,"30071198-0","TERMINADO","Sectorial","CONSERVACION MAYOR AERODROMOS MACROZONA CENTRAL INTERREGIONAL","Interregional",16/12/09,31/05/10,1102495,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Obras Portuarias",33838,"30071161-0","TERMINADO","Sectorial","REPOSICION RAMPA DE PASAJEROS DE DALCAHUE, DALCAHUE","Los Lagos",04/08/09,04/09/12,1843205,"CHILOE","DALCAHUE"
"Competitividad / Conectividad","Dirección de Vialidad",33790,"30069606-0","EN EJECUCION","Sectorial","REPOSICION PUENTE RAGNINTULELFU PROV. DE CAUTIN, IX REGIÓN","La Araucanía",05/05/10,01/12/24,5412813,"CAUTIN","NUEVA IMPERIAL"
"Competitividad / Conectividad","Dirección de Vialidad",33785,"30070463-0","EN EJECUCION","Sectorial","CONSTRUCCION CIRCUNVALACIÓN VALDIVIA Y PTE. STA. ELVIRA","Los Ríos",02/12/08,01/12/24,49561559,"VALDIVIA","VALDIVIA"
"Competitividad / Conectividad","Dirección de Vialidad",33784,"30067734-0","TERMINADO","Mixto","MEJORAMIENTO RUTA C-495 , EL TRANSITO -JUNTA DE VALERIANO, ETAPA II","Atacama",01/01/10,20/12/19,5748220.074,"HUASCO","ALTO DEL CARMEN"
"Competitividad / Conectividad","Dirección de Vialidad",33782,"30070449-0","DISEÑO","Sectorial","MEJORAMIENTO PASADA URBANA POR CHEPICA","Libertador General Bernardo O'Higgins",16/02/09,30/12/30,2529550,"COLCHAGUA","CHEPICA"
"Competitividad / Conectividad","Dirección de Vialidad",33779,"30070432-0","EN EJECUCION","Sectorial","AMPLIACION RUTA 7 - SECTOR: RIO PUELCHE-  PELLUCO, PUERTO MONTT","Los Lagos",20/10/09,01/12/24,21974123,"LLANQUIHUE","PUERTO MONTT"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",33772,"30070341-0","TERMINADO","Sectorial","-- ESTUDIO CONSTRUCCION TRANQUES RETENEDORES ALTA PRIORIDAD COPIAPO","Atacama",08/07/10,06/07/12,606885,"COPIAPO","COPIAPO"
"Competitividad / Conectividad","Dirección de Vialidad",33769,"30070243-0","TERMINADO","Sectorial","CONSTRUCCION PUENTE SAN PEDRO EN OSORNO","Los Lagos",30/07/08,26/01/14,32692392,"OSORNO","OSORNO"
"Competitividad / Conectividad","Dirección de Vialidad",33760,"30070213-0","TERMINADO","Sectorial","CONSTRUCCION CALETERAS RUTA 5 SUR S: LO ESPEJO ? SAN BERNARDO","Metropolitana de Santiago",27/05/10,02/10/18,10036661,"SANTIAGO","LO ESPEJO"
"Competitividad / Conectividad","Dirección de Vialidad",33743,"30069573-0","DISEÑO","Sectorial","REPOSICION DE PUENTES MENORES EN LAS PROVINCIAS DE CHILOE Y PALENA","Los Lagos",21/01/10,27/03/11,491531,"CHILOE, PALENA","CASTRO, ANCUD, CHONCHI, CURACO DE VELEZ, DALCAHUE, PUQUELDON, QUEILEN, QUELLON, QUEMCHI, QUINCHAO, CHAITEN, FUTALEUFU, HUALAIHUE, PALENA"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",33706,"30069615-0","TERMINADO","Sectorial","CONSERVACION RED PRIMARIA DE AGUAS LLUVIAS REGION DE LOS LAGOS","Los Lagos",11/06/08,29/12/10,632912,"LLANQUIHUE, OSORNO","PUERTO MONTT, OSORNO"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",33701,"30069921-0","TERMINADO","Sectorial","CONSERVACION RED PRIMARIA DE AGUAS LLUVIAS COYHAIQUE","Aysén del General Carlos Ibáñez del Campo",16/07/08,18/10/10,288611,"COIHAIQUE","COIHAIQUE"
"Seguridad hídrica","Dirección de Obras Hidráulicas",33696,"30069905-0","TERMINADO","Sectorial","CONSTRUCCION ENTUBAMIENTO CANAL AZAPA EN ARICA","Arica y Parinacota",04/12/07,18/12/18,50097961,"ARICA","ARICA"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",33679,"30069901-0","TERMINADO","Sectorial","CONSERVACION INFRAESTRUCTURA AGUAS LLUVIAS DE TEMUCO 2008 - 2010","La Araucanía",15/07/09,18/01/16,5096712,"CAUTIN","TEMUCO"
"Competitividad / Conectividad","Dirección de Obras Portuarias",33667,"30098556-0","TERMINADO","Sectorial","CONSTRUCCION RAMPA Y OBRAS ANEXAS EN PUERTO AGUIRRE","Aysén del General Carlos Ibáñez del Campo",01/01/13,28/08/15,8021988,"AYSEN","AYSEN"
